Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Class
Ransomware-Conti-00c1eb7bba0d6c92367452199ae58d84bda13513d0c642862af44c998a0f3fc5-4.raw,43,17,9.604651163,0,208.2093023,1677,39.0,8954,213.1904762,0,661,3120,45,729,753,106,693,131,185,276,50,91,50,0.02900232,0.052784223,0.02900232,3,3,18,1.0,0,0,1,0,5,2,7,0.0,0.0,0.023255814,0.0,0.11627907,0.046511628,0.162790698,138,389,221,26,24,116,0,122,86,0,8,Malware
Benign,39,13,14.99362379,0,280.1455529,1830,46.28026834,11086,291.749071,0,972,3709,42,768,1225,96,629,131,328,322,46,82,46,0.025049635,0.044562165,0.025049635,4,5,28,1.267352953,2,0,3,2,7,4,8,0.048114847,0.0,0.085817921,0.048114847,0.182047613,0.096229692,0.206105036,137,395,222,26,27,118,0,120,88,0,8,Benign
Benign,43,18,11.18604651,0,265.9806221,1927,44.81395349,11438,272.3373036,0,892,3933,48,998,946,106,763,137,380,398,80,120,80,0.040920716,0.061381074,0.040920716,6,8,36,1.5,11,0,12,11,16,13,18,0.212511286,0.0,0.230824976,0.212511286,0.304079741,0.249138668,0.340707122,138,392,222,26,24,118,0,126,87,0,8,Benign
Ransomware-Conti-0f071efc0e7aca1d1c7eb90cc7a49bf63dae060dff7b046688a7fd0148e19307-4.raw,44,17,9.636363636,0,202.0,1705,38.75,8889,206.7209302,0,650,3040,46,754,761,108,676,132,199,276,45,87,45,0.025773196,0.049828179,0.025773196,3,3,18,1.0,0,0,1,0,5,2,7,0.0,0.0,0.022727273,0.0,0.113636364,0.045454545,0.159090909,138,389,221,26,24,116,0,123,87,0,8,Malware
Ransomware-Shade-50bb43a1e3c5c01e25946559cf7794db002f2c308b1d58ccd77861762b2cec43-1.raw,43,16,10.60465116,0,208.1162791,1665,38.72093023,8949,208.1162791,0,664,3105,46,688,851,107,661,126,181,271,49,91,49,0.028604787,0.053123176,0.028604787,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023256,0.046511628,0.139534884,138,389,221,26,24,116,0,122,86,0,8,Malware
Trojan-Scar-7592c90002bfbbb2eacf9c7fded8af38-7.raw,40,16,9.5,0,201.8,1478,36.95,8074,212.4736842,0,627,2831,41,674,672,95,613,116,160,231,43,80,43,0.028781794,0.053547523,0.028781794,3,3,18,1.0,2,0,4,2,8,4,10,0.047619048,0.0,0.095238095,0.047619048,0.19047619,0.095238095,0.238095238,138,389,221,26,24,116,0,119,87,0,8,Malware
Benign,44,13,12.67668494,0,293.2229908,2239,50.36093548,13038,293.2229908,0,1141,4675,49,917,1235,110,780,149,443,407,80,122,80,0.036082732,0.055197626,0.036082732,6,7,36,1.195810568,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.089956947,0.044978473,0.134935421,138,395,222,26,27,118,0,123,88,0,8,Benign
Spyware-180solutions-0d8961f90f9e3bd5fba8092b289ca5fffc2828ca9e200eac3dc7589169d2a87f-3.raw,44,17,9.522727273,0,200.1590909,1673,38.02272727,8807,200.1590909,0,670,3068,47,693,772,109,651,126,182,269,50,93,50,0.029036005,0.054006969,0.029036005,4,4,24,1.0,3,0,3,3,7,5,9,0.063829787,0.0,0.063829787,0.063829787,0.14893617,0.106382979,0.191489362,138,389,221,26,24,116,0,122,86,0,8,Malware
Ransomware-Ako-0b300de0d3d2c0546b20d5c3452b26aed48aaefc2c97d0383ea7dd7570240f49-4.raw,44,17,9.636363636,0,207.9772727,1709,38.84090909,9152,212.8372093,0,866,3064,46,700,775,108,698,132,192,289,46,88,46,0.026300743,0.050314465,0.026300743,61,18559,366,12.2,0,0,1,0,5,2,7,0.0,0.0,0.022727273,0.0,0.113636364,0.045454545,0.159090909,138,389,221,26,24,116,0,122,86,0,8,Malware
Ransomware-Ako-0c419bfcc75103f69c28adc68467605b0baa3ce9309eefe7561e28984f5be0fc-3.raw,41,16,11.19512195,0,214.9512195,1610,39.26829268,8813,214.9512195,0,647,3101,44,675,847,103,642,126,181,268,46,86,46,0.027794562,0.051963746,0.027794562,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,389,221,26,24,116,0,122,87,0,8,Malware
Benign,47,17,12.02499718,0,274.9077391,2258,48.00415237,12933,274.9077391,0,1028,4417,52,1105,1162,114,837,147,428,434,96,142,96,0.041844907,0.061490361,0.041844907,8,39,52,1.533235639,3,0,3,3,7,5,9,0.067899267,0.0,0.067899267,0.067899267,0.147264567,0.107581917,0.176805786,138,392,222,26,24,118,0,125,87,0,8,Benign
Benign,39,12,12.53014517,0,281.0852395,1932,49.53846154,10962,281.0852395,0,942,3860,43,774,1021,98,725,137,332,321,66,102,66,0.034357106,0.053097345,0.034357106,4,5,24,1.333333333,1,0,1,1,5,3,7,0.025,0.0,0.025,0.025,0.125,0.075,0.175,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,41,12,12.66485877,0,290.4327022,2067,50.41463415,11907,290.4327022,0,1052,4277,45,803,1108,103,748,142,408,360,75,113,75,0.036319613,0.05472155,0.036319613,4,5,24,1.333333333,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,48,13,12.06761606,0,270.3455699,2295,47.8125,12976,270.3455699,0,1105,4647,53,890,1236,117,768,159,452,399,87,132,87,0.037744035,0.057266811,0.037744035,7,8,42,1.166666667,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.083333333,0.041666667,0.125,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,41,14,13.57081007,0,296.9905573,2064,50.34146341,12176,296.9905573,0,1075,4216,45,868,1184,102,748,145,438,385,64,103,64,0.031667491,0.050964869,0.031667491,4,5,24,1.333333333,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.12195122,138,395,222,26,27,118,0,123,88,0,8,Benign
Spyware-CWS-0b5f27693d84662626b7367a01c8bc32c8eba11bc28061c9dc23f28586186790-8.raw,40,16,9.975,0,214.075,1548,38.7,8564,219.5897436,0,850,2885,42,692,716,97,650,119,173,252,43,81,43,0.027528809,0.051856594,0.027528809,61,18559,366,12.2,0,0,1,0,5,2,7,0.0,0.0,0.025,0.0,0.125,0.05,0.175,138,389,221,26,24,116,0,119,87,0,8,Malware
Ransomware-Pysa-1fefedf1a4990a7c1811a509bb3a31d917e2f0ca39848bbc41ee9a3a1bf4ee0d-2.raw,40,15,10.575,0,214.575,1580,39.5,8583,214.575,0,642,3007,43,659,788,101,642,123,179,260,47,86,47,0.028905289,0.052890529,0.028905289,3,3,18,1.0,5,0,5,5,9,7,11,0.111111111,0.0,0.111111111,0.111111111,0.2,0.155555556,0.244444444,138,389,221,26,24,116,0,121,86,0,8,Malware
Ransomware-Shade-ff1a48aaa4ca00d40d6888713626e4aa42f36fd3806b368810708a60160f56f9-9.raw,40,16,9.7,0,212.625,1571,39.275,8506,218.1025641,0,654,2962,42,748,692,97,661,119,178,246,51,89,51,0.032095658,0.056010069,0.032095658,5,273,30,1.0,0,0,1,0,5,2,7,0.0,0.0,0.025,0.0,0.125,0.05,0.175,138,389,221,26,24,116,0,120,86,0,8,Malware
Benign,39,12,12.9498848,0,292.655008,1941,49.76923077,11413,292.655008,0,1027,4046,43,801,1079,99,723,140,396,329,63,98,63,0.033386328,0.051934287,0.033386328,3,4,18,1.5,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.102564103,0.051282051,0.153846154,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,40,12,13.07613466,0,298.6653366,2001,50.025,11946,298.6653366,0,1080,4400,44,767,1140,100,739,136,403,331,63,101,63,0.032192131,0.051609607,0.032192131,3,4,18,1.5,2,0,2,2,6,4,8,0.047619048,0.0,0.047619048,0.047619048,0.142857143,0.095238095,0.19047619,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,44,12,12.81473016,0,288.5195441,2090,48.62084311,12695,295.2525568,0,1175,4628,47,829,1240,107,747,145,489,348,71,109,71,0.034411464,0.052689349,0.034411464,4,5,24,1.333333333,0,0,1,0,5,2,7,0.018847264,0.0,0.041146189,0.018847264,0.130341893,0.063445116,0.174939745,138,395,222,26,27,118,0,123,88,0,8,Benign
Trojan-Zeus-1f586eb1adeb8322d8187cd59a2b030bfa8a866deb71b06da5de58565918a959-7.raw,37,15,10.16216216,0,216.2432432,1450,39.18918919,8001,216.2432432,0,628,2827,40,672,668,92,596,113,161,231,44,79,44,0.030157642,0.054146676,0.030157642,3,3,18,1.0,7,0,7,7,11,9,13,0.159090909,0.0,0.159090909,0.159090909,0.25,0.204545455,0.295454545,138,389,221,26,24,116,0,119,86,0,8,Malware
